text,lat,long,relevant
The boys working hard!! #family #friendsforlife #proud http://t.co/NtycxPD36W,33.992030431212676,-117.33335294544823,0
Fuck man I burnt my egg,33.809971320752645,-117.7343501025378,0
"@EricFrancis Seems harsh to say it like that, but I agree. Kipper sulked for the last couple years.",33.78732325834956,-117.6359888666761,0
@76for25 no shit ! It's real easy to tweet the score or say the team wins! I love when a player scores an they are like  Boston scored,33.72452527104139,-117.6073553945397,0
Wow 24c and its only 8.15am. Happy Canada day everyone. #albertasummerishere,33.778010469870445,-117.70212183305695,0
#yycflood What a trooper this guy is!! Jesse @wopizza dropping off pizzas for city workers! #yycfood http://t.co/P1NAxUEoR9,34.14027138639989,-117.33387839159971,1
"Props to @calgarystampede for sending volunteers to our @YMCA_Calgary and partners evacuation centre. #yyc comes together, always!",33.79571862784093,-117.81264586708387,0
"see the first hints of a budding romance when it was happening right under his nose. Ben would deny it, of course, but",33.886851286093105,-117.60804628490256,0
If you need a place to stay tonight get in touch. #flooding #calgary #yyc #staysafe @ Riverwalk - East http://t.co/m4M1ux9xFH,34.0784393862834,-117.37573346487736,1
"Going on the air, 106.5 Mountain FM, in 10min to pump up the Bow Valley about the Flood Relief http://t.co/9tiNGmVFsf",34.132159417232735,-117.17909638553164,1
Sat midnight: Temp 17.3 C; Wind SE 13 km/h; Humidity 67%; Press 101.7 kPa / falling; Health Idx 2.4.,33.954477705222395,-117.27887596751202,1
Finally made it!  Let the festivities begin! (@ Calgary International Airport (YYC) w/ 17 others) http://t.co/pjyoDcqbKb,33.94394851001271,-117.3248119563553,0
RT @GreenMonster03: It's going to be a fluke goal that wins this friggin game!!!! C'mon #BRUINSSSSSSSSSSSSSSSSSSSS,33.81667163600307,-117.9274574307368,0
@GlobalCalgary: WATCH IN FULL: Alberta Floods 2013. A special edition of the Early News with @Linda_Olsen. #YYC #abflood when ?,34.03033918095879,-117.31538768576272,0
"@Xtraspyc that's the plan, I believe it will be a drinking night",33.94844859646024,-117.60700404317362,0
"Hard to tell, but that's the same sign as earlier. @ Stanley Park http://t.co/YhYd24QQmm",33.97048001238401,-117.39852230575586,0
Shaw have opened the Shaw Go WiFi network for all citizens in Southern Alberta  please connect to the ShawGo network #yycflood,34.01493150511582,-117.30600021959566,1
"@ZBettess Life! :) #ETAD studio in Sask, moving to new home, getting a dog, trading vehicle, seeing family, colour run race in NY! Lots! :)",33.7014444001191,-117.89590061629688,1
The guards did their best to look intimidating.,33.75630195154147,-117.18880399797659,0
by and see if you received my orders yet.,34.091528177071595,-117.2295126409369,0
"I'm at Morraine Lake (Improvement District No. 9, Alberta) [pic]: http://t.co/ZDiMF6NInz",33.877659819562346,-117.68358886286128,1
@VerandaInterior whoa.. Tough call. Narrow your wants down a bit!,34.12396915220275,-118.02234448439671,0
"Loool, can i go to someone house tonight ... Dm me. House is fucked",34.062332385751745,-117.43077450914669,0
"@destructoid I didn't see that, dang!",33.95047132898863,-117.36633175783994,0
Happy birthday @Shaanell i love you hope you had a wonderful birthday!!,33.95070922453843,-117.40473391863188,0
The way 'Days Like That-Sugar Jones' just spoke into my life though.,34.16013603409791,-117.7778202574609,0
"I'm at Sundance Lake &amp; Recreation Centre (Division No. 6, AB) w/ 3 others http://t.co/G3odHhiTR1",33.72074382067479,-117.14794463607605,0
It hits home when it's a city you've spent a lot of time in. Couldn't imagine it bring my hometown,34.03141974678976,-117.28342951897078,0
@medhatpolice Are you patrolling the evac areas? Worried about shenanigans for those abandoned homes already...,34.15687002265832,-117.2806260959934,1
"Today, one of the coolest hikes I've ever done. Rocky hills along a blue-green river...in a http://t.co/1C1KfhrG4D",34.126575933971054,-117.92136007400309,0
@sit_walk @hollya1m1 dj craicmonkey's in the house.,34.15163375271355,-117.55263051218924,0
But she found only decomposing wood and fabric-not much of a threat as far as she could tell.,34.142578717554606,-117.23456703040334,1
Canada Day events to act as celebration of Calgarys resiliency: Calgarians are invited to celebrate Canada Day... http://t.co/Ouoaq9B4Oi,34.02905326424012,-117.47138177731443,0
hit #them the speeder threatened to flip over.,34.108936266042946,-117.75148713765523,0
@calgaryherald: Trans-Canada to Banff may reopen by weekend #chlive http://t.co/yXdPERzYDE this would help for a wedding on Saturday!,33.69458580577694,-117.2739715025382,0
"@bcbeautygirl yes we are okay. I've taken in a friend, her 87 year old mom &amp; pets as they were evacuated. Watching the news &amp; staying dry",33.81748937427286,-117.54655867050332,0
Strange timing to leave town hours before the evacuation call! #yycflood,34.09517027356363,-117.56918662161458,1
AND IT'S HALF FLAT WHAT THE FUCK I JUST OPENED IT FUCK YOU KOKANEE EVEN THO I LOVE YOU,33.943121770396004,-117.99363508569405,0
Edmonton Public appoints new superintendent: Edmonton Public Schools has appointed Darrel Robertson as the new... http://t.co/OFQHjyxnrJ,34.08502929022763,-117.34590462096682,0
@WeeMadAggie not at all. Wearing proper attire for the activity is an sign of good sense/intelligence.,34.133678691780325,-117.27811053388832,0
"Soooo,  29 degrees Monday, I need 35,000 Litres of water to fill the pool - does filling pool apply to outside tap ban? hope lifted by then!",34.023461853138926,-117.22282582412643,0
"s knifed their way through the nasal tissue. Khedryn's eyes watered. Blood leaked around #the feeders, out the human's no",33.922546028060275,-117.19132472772544,0
@TownOfHighRiver who do we contact regarding reptiles that have been rescued from homes?,34.05853166408061,-117.33724629457843,0
Need a stress relief sweat? http://t.co/fkKK50QfD8 for a great 200-500 too challenge. You decide what you are up to! http://t.co/Ir8UGIKIh6,33.760733927480466,-117.33958590437122,0
Evans grade 4 passing present. #dadoftheyear http://t.co/FvqkTAgUSJ,34.14620244716241,-117.14986363386637,0
"I'm at Princess Auto (Edmonton, AB) http://t.co/PX0BPH06Dp",33.900261807104414,-117.94687288653508,0
Guys. There's a seven eleven 2m from here. Someone go with me.,33.98911156485751,-117.40056940835281,0
POS Service Technician &amp;acirc; One Year Contract (Mat Leave)!Toronto #job #hiring http://t.co/3oZPvtswjQ,33.97722083931418,-117.21116230085177,0
@beautifulgenny great news! How do we make appointments. ?,33.865182056121505,-117.34087589313928,0
Burping my nephew and he is head butting me wtf,34.15982973679881,-117.86118928029612,0
@LadiesKnM  their day will come! They won't like how it feels! @DrianRok @eclatantly @Nana25lima @harden @litlsistr @colon_damaris @SchJanet,33.7143244050845,-117.77523617643493,0
The hashtag #TrustSailun took the 20th place in the Top20 of Calgary's Trends for Thursday 20: http://t.co/2RkFyF3n4z,33.76294995007894,-117.98284959616156,0
@ShitNoOneSayss_: Just pre-ordered Soulja Boys new album!@AshleyMoBrown why did i think of you?,33.93338267824166,-117.96665932297216,0
"Watch Mayor Nenshi LIVE on Shaw TV 10, http://t.co/b4jYRg5XKU, and http://t.co/62WA8E31rG at 7pm. Call in with questions!",34.038122978831545,-117.32952737052635,0
@GigawattConduit @cateia97 I call that theory the Superman/Kryptonite paradox.,33.95953738540054,-117.1858582402514,0
@terrylo_calgary @DABertime @nenshi Deep admiration for Nenshi! Working hard to restore the city!,33.94966704295261,-117.1849341535232,0
@LadyDAfterDark Yay. I imagine one character and such? Can we bang out the details tomorrow? So sleepy...,34.051354521344386,-117.95920269793241,1
"@jeffmeier87 I'm trying to volunteer cuz we're poor but at the same time, it's our like 7th annual lake party that I never miss...",34.02780120731754,-117.37454530610228,0
@daviedallen this weekend is a long weekend...not a chance that's happening,33.92083080160348,-117.57608663165871,0
it was so cute how the guy that was working in zumiez asked for my number,33.75167437089828,-117.17969147183628,0
@rachaelm0716 you will probably be married before me to be quite honest. Aha,34.10377191096693,-117.59948277446478,0
Radom photos I took tonight on the side of the road.... http://t.co/vQXh3fiNTp,33.860811458547424,-117.7175232853575,1
At the #winspear to see Nicole cross the stage at her graduation ceremony! @ Francis Winspear Centre http://t.co/lNOto3AnP1,33.74166569926053,-117.73109633800648,0
I just went for a walk. Ran into a man without power. Scared of losing food. Options? #yycflood,34.05094486972074,-117.33816787831222,0
#abflood what's happening in Canmore and banff re hwy 1 road closures,34.03781429402661,-117.34212356952938,1
"Stop acting like you can get any guys you want, because you can't! #SorryNotSorry #ItsTheTruth #Annoying #JustStop #YouArentHot",33.714661686607734,-118.00958639876696,0
"I'm at Boomtown Pub &amp; Patio (Calgary, AB) http://t.co/H0S6Fhm5pB",34.10302371351285,-117.92472401697913,0
@BlueJays #Whiff No one said this come back would be easy. Get those runs back! #GoJaysGo #LoveThisTeam,34.06277991124041,-117.33321491941322,0
"He climbed to his feet, put the autopilot into launch prep, and methodically donned the vac suit and oxygen kit, all whi",33.94715211598554,-117.15471608839044,0
Those are some nice riders sneakers man  #dedication #goesksgo,34.082565142805336,-117.32252042160047,0
.@calgarysbestpub has finished clean up and is starting abatement before they rebuild. Last week I http://t.co/cft2F3nA73,33.95289282888226,-117.8874207922197,1
i love how long being as an oceans song titles are,34.10709336974916,-117.22741085959412,0
I can return to my house now.,33.83476080025413,-117.65253603362464,1
@CTVPKrauskopf: Mayor @nenshi says even though tap water may taste different than ususal - it is safe to drink.  #yycflood #abflood,34.03304691721943,-117.78328705706768,0
A sign of all the work ahead -- no bridges on the Elbow River have re-opened. Only 30% of flooded downtown buildings have power #,34.072999324579875,-117.3442712735463,0
"Journeyman Pipefitters Needed for Shutdowns in Calgary, AB #job #hiring http://t.co/rrklgYHpbe",34.0319151559232,-117.48751437832254,0
"As Luke spoke, he grew aware of CilghaPs presence rushing across the #corridor from the direction of the infirmary. An in",33.749017522042685,-117.93400504869363,1
(I wanna) Channing all over your Tatum - http://t.co/wtABXklGhz,33.756939956849735,-117.71523001204449,0
When it's almost midnight and your neighbors kids are jumping on their trampoline... Shut the fuck up I have to work in the morning,33.80585573975282,-117.53188627649438,0
Luke didn't quite smile. Now I need a #second or two to concentrate.,33.75095324788165,-117.30477502713413,0
@Richbrown458 @JoyBowenEyre we can't help yet. We're short two 2 hoses.,34.052586601464384,-117.35786697517284,0
@BettyjoSexton @JoshuaAdamsRock Hey rocker sister. Hope you are good. Just finishing up the evening with horror movies. Have a great night,33.86090790894968,-118.00675563803979,0
Longest line ever at this Canada Post... Gah!!!! (@ Shoppers Drug Mart - @shopprsdrugmart) http://t.co/jC429bAxqT,33.893853842303145,-117.88490226145964,0
In EDMONTON...ahhhh then CALG ON MONDAY...ahhhh,33.992341613796604,-117.6267921523437,0
It was the best night ever! Totally worth losing my voice!  @ taylorswift13 @edsheeran http://t.co/nTiOg6Sliu,33.76071799472081,-117.25291456205083,0
"Cause its a great day to be alive, I know the suns still shining when i close my eyes",34.04005223598934,-117.3117120561486,0
"It's the lesser of two evils...and to save lives, we'll have to live with it.",34.16239504874073,-117.32174561070812,0
@yespedro yea finally got out today - how's the floodin treating you?,34.13560362489268,-117.6015306407328,0
Thinking of all my family and friends effected here in Alberta #yycflood #abflood You can donate at http://t.co/w7uezL7aGM,34.057058253791325,-117.97043724776535,0
"#YYCFlood  History in the Making: History writes itself, like it or not. The beauty is that the people who... http://t.co/RHyTLTqGuQ",34.029920979754486,-117.34810351264784,0
...Ought to waive some of their BS out clauses and make some decisions for the greater good of the big picture here. #yycflood,33.81731799729644,-117.94730437707071,0
@mariam_hamoud almost made me shit my pant,33.71160253338373,-117.26921461882802,0
@reneerobynphoto hey ^_^ see that you been buy traveling lots lately! I always look forward to your works!,34.05908013776843,-117.3182152076532,0
Collecting household hazardous waste and appliances in flood affected areas: Chemical and other collection trucks... http://t.co/8qIPtrdoAm,34.116757391499114,-117.82423080737652,0
"@TurtleWingsMe screw of, ur just jelly cuz my hairs awesome!!!! http://t.co/rt7qdguztZ",33.78968749429845,-117.72836784977144,0
"Update: State of Local Emergency: While significant progress has been made throughout the city, The City of... http://t.co/Xo7bKKjAuA",34.063666520314264,-117.36494008686572,1
Watching the river. It's getting high. Trails are closed.,33.9257026592706,-117.37864867624576,1
Brown-beard fared better. He managed to pull a grenade from his pocket-and even get it armed-befor #autofollowback e Leia hit him with a,34.010609814264676,-117.25543424054838,0
"awe. Some actively dislike us. A few harbor hate, still nurtured and #fresh following the Despot War twelve years ago, a",34.09471749958872,-117.41256508372126,0
@Vaugie25 @TheoFleury14 @ReapersPlace @KellyHrudey   I would say High River needs it most but Calgary just the same.,34.10959041995253,-117.64135254712092,0
@HuffingtonPost: The gut-wrenchingly tragic outcome of one couple and their struggle to accept their gay son http://t.co/wxOKSvQmvo Aww :(,34.02251749811203,-117.7551699488623,0
"If anyone had some time and energy, Jill and I could use a few hands to help muck out our basement! #yycflood #wetsos",34.042778010209645,-117.35507963475695,0
All up in my emotions right now.,34.04538787830934,-117.20292278058844,0
@CBCCalgary stop trying to find the negative in the #yycflood  You were so supportive &amp; now U seem to be focusing on the bad. Please stop.,33.95358327868402,-117.37066291340707,0
'Boston' appeared on Tuesday 25 at the 7th place in the Top20 of Edmonton's Trends: http://t.co/EuKOxJpvFb,34.12158590148157,-117.58447962652708,1
uke ordered a small cup of water. The bart #followback ender gave it to him.,33.758197580448396,-118.00756655700893,0
Text 30333 and write redcross all one word #redcross,33.748399166877284,-117.45204476504688,0
@chantellegoulet @jasElle_ @_dreaxo @_babyh1 luky_thasme #Char butch can't find yo insta name #Kayla http://t.co/wstNijDRbs,33.708994612969555,-117.80534488871515,0
@JaxAustin lol I should guess not. I can't use them on the best of days so don't feel bad :),34.083865236347684,-117.31180848795843,0
@AlyssaLang34 hah just being the best and bring the coolest chick and a beautiful girl who  loves sports!,33.82027401535529,-117.98487341726641,0
@kped12: @LizaStinton please RT to help those losing their homes to floods in Alberta redcross.ca #yycflood,34.06667596594768,-117.36670130474512,1
"I'm at Snap Fitness (Fort Saskatchewan, AB) http://t.co/r30JcxxW46",33.98620358540658,-117.48543681192257,0
"clone soldiers from the hull. A trooper in red-emblazoned armor flew past the #cockpit viewport, arms and legs flailing.",33.84225700819878,-117.62961676889887,0
@ashleymeller apparently not (yet) because of the berm. Never even knew what a berm was until yesterday!,33.99107302710842,-117.7171882869804,0
"Really lucky, saw Herbie Hancock live last nite. Like Mozart with a synth, cool to be in the presence of greatness. Amazing gig...",33.856626160688435,-117.71045800195864,0
#CanadaDay shows up at this time as Trend in Calgary http://t.co/wHuuFDTB0j,33.86605757449252,-117.18761973062362,1
"Hey Girl, down there you look like a sweet nickel. #CanadianSexEuphemisms #sorry #sosorry #imaterribleman",33.837777111206684,-117.48367529121914,0
@serenaryder Best wishes to you and all that jazz! I love jazz music!,34.16388105762487,-117.19884138086981,0
Yet another strange bug on the patio. Kinda cute actually #bug #insect #patio #igers #igdaily http://t.co/u5gVShNvpB,33.726507553395145,-117.38860527159987,0
Even the police weren't immune from the flood catching them unaware. #yycflood [pic]  https://t.co/jIO3LTxE72,34.07623505422696,-117.33548941508106,0
"I'm on Instagram, follow me at indykhosah",34.07832055728476,-117.8676259254237,0
"Great, Han said. We'll come with you.",33.97437978217783,-117.49969149123852,0
@justaytay what a great concert hey? Can't believe its over now,33.82268073845248,-117.9146496697048,0
Helping Calgary. What a babe! @ The Stairs http://t.co/uNdRrreVKf,33.87904985051512,-117.99124956424393,0
#yycfloods Our little slice of heaven @ Fish Creek Provincial Park - Bebo Grove http://t.co/G6MlHWKPgk,34.02448180796017,-117.54213931708672,0
figured out this was their renegade bus by now.,33.75869022994996,-117.29993923432316,0
The flooding Bow River creeps towards the community of Chaparral Valley in south Calgary #YYC #YYCflood http://t.co/32qgoeLA7R,33.742203121215674,-117.2284891645757,1
Canadian Prime Minister Stephen Harper's wife Laureen joins Calgary flood recovery efforts [Photos]: Prime... http://t.co/YQsAeXEn4d,34.080241555659576,-117.31845568677728,0
"In other news I had a pretty awesome Smash today. You could even say, I. Had a SMASHing time. http://t.co/bSKColLJIN",33.72295128598686,-117.37004637115132,0
Nothing worse than a cracked out guy trying to fight you. #whydidileavemyroom #whyteaveprobs,33.91250073895761,-117.93374579762084,0
@TreenasOil : I hate too see Oilers give up on MPS,34.12017521948252,-117.2884886014297,0
Tears to my eyes man... RT @jrmacpherson: We rebuild together. https://t.co/owOAP7EMjt #yycflood #yychelps #yycstrong,33.955082779092564,-117.24525440471396,0
"MTV Catfish. Your shit never works out, what's the point in trying?",33.708948611286104,-117.43137943565064,0
@kelliepickler someone is beach body ready!  You look awesome! Hope you &amp; your hubby have a great time!,33.95435269234016,-117.51004928848236,0
I feel like I deserve to throw up but this hangover is pretty bad so it will have to suffice,34.03830825439222,-117.29237526315839,0
You are so attractive. #Js @MTV @MTVteenwolf,33.80756966562612,-117.28305877230416,0
"@elenasyr also, I make all the rules up as I go. #rules #danielknowseverything",33.98354318218114,-117.27095596918836,0
feel like a lost dog in this mall Jesus fuck,33.87202187867701,-117.67809753861816,0
"Sales Representative needed in Medicine Hat, AB, Excellent benefit package!! make over $80 K plus!! #job #hiring http://t.co/5jjwCKbWSo",33.868076997282074,-117.93716889410312,0
Suddenly Ikrit jerked in alarm and held up a warning paw to silence the children. Immediately Anakin could sense that th,34.044260957011396,-117.58979227667831,0
@Dhvic hey dude. State of emergency here. Massive flooding. Town of highriver is wiped out. I'll call if u like. Just give me a numbet,34.0105735554669,-117.84059376171132,0
"Looking for a Lead Hand - Operations in Fort Mcmurray, AB - great opportunity! Apply today! #job #hiring http://t.co/0mZyszZReG",33.83277765246672,-117.28276046509521,0
@OilersJunkie why do you want that contract?,33.774969724526976,-117.50583485715558,0
"Hot weather, cool jazz, even cooler ice cream! #coldstone @ Tim Hortons http://t.co/gs7e6CVArK",33.727490741649234,-117.3627970722616,0
"@yycfoodtrucks Kudos for helping out in the crisis,! #foodtrucklove #yycflood",33.91523473754484,-117.41790920572546,0
@shersi_ Djibouti miyaa lool that's basically extension of Somalia,34.09346719095084,-117.20648625335964,0
last day in Slave what shall I do,33.86313650949205,-117.87132811474872,0
@nenshi you are doing awesome--but dude you have to get some sleep!  #powernap #calgaryflood,33.949435801811184,-117.56754147416801,0
@PonchoParker: @MHNMcCuaig is doing a stellar job of keeping MH citizens informed #mhflood .Thank you. Yes excellent work!,33.90718891292339,-117.41066452371113,0
@DebraDiGiovanni You will know for sure... if they remove all the toilet paper from your room.,34.07553812577301,-117.71479578587521,0
"Its self-created weapons fired in return, steady and rapid. Jaina pulled back on the stick hard and was slammed #back aga",34.114353437327104,-117.18311419759316,1
"Yea, theres a 99.9 percent chance i just passed out I'm my laundry room. Don't know how that happened #albertaflood #craycray #bitchisbumpin",34.17573717666804,-117.8426410414652,0
"@DoC_Reclaimer TO BARREL ROLL, PRESS Z OR R TWICE!",33.743522584285735,-117.24320493670929,0
"I'm at Rose &amp; Crown (Banff, Alberta) w/ 6 others http://t.co/p76JXoysqX",33.703550418195995,-117.85449934206235,0
RT @wynn2go: @heavyoilcountry  kind of hard to bail out the saddledome with just one cup that's why #yeg is helping out #6Cups,34.019416111700416,-117.62109032924744,0
hear about Thaal and #that civilian authorities will launch their own investigations. Not to mention the musicians' union,33.83504681169089,-117.34841633540906,0
"The front door was a #vault-like durasteel portal, a very old-fashioned design that swung out on metal hinges, and Ben be",34.170361396960956,-117.41267289054085,0
"Cat in the grass, Garfield? Is that U? http://t.co/lrWyikbH4e",33.84224693127139,-117.93225860152194,0
"Flood warning came too late, says Burnco owner: Extensive damage to a Burnco Rock Products Ltd. centre and its... http://t.co/k87mhOmF9J",33.866508180878,-117.59073769343777,1
In that case.. I guess we've all officially graduated!,33.914595404843496,-117.97225644491014,0
"Flood recovery will test already tight rental market: As Calgarians clean up flood-damaged properties, theres... http://t.co/u2czVaNTAz",33.91393037064753,-117.16151677059864,1
rs to floods of running lights in an even greater range of hues. Tourists visiting Coruscant from other worlds often sto,34.06340004687924,-117.37209234671404,0
"Stoney Nakoda in Morley in need of food and shelter, visit the Morley High School, they are helping out 24/7. #abfloods",33.821435351228594,-117.73611184323084,1
The present day really isn't that bad in terms of entertainment media and culture as many people paint it to be.,33.92469396610827,-117.9249332103594,0
Jeez finally. She thinks it's ok to nap. When the river is steadily rising by her place. Crazy woman.,33.72448006052302,-117.68605120034263,0
#medhat @CHAT945 will have the media scrum live with Ron Robinson to update on flood conditions coming soon tune in please,33.69660290299605,-117.73463038936924,1
"tion and overwhelmed him. Initially, anyway. Like #trying to put that waterfall out there through a small tube. Or passin",33.81699068935505,-117.37488120379322,0
"Hi @Premier_Redford, I think the Alberta Government has been doing a great job assisting people, ... http://t.co/zE0A1ngoKX",33.896584960727765,-117.940513870575,0
"Might be stuck in the burbs for a couple more days, I thought I would pick up some essentials from home. #yycflood http://t.co/AOqtkkJsZl",33.978393169081734,-117.56175369462895,0
@AmyBlacksson lol Burco and Somaliland in general you don't really need to take anything its all over there,33.82850607438806,-117.5968934087436,0
...There is a powerful river of forgiveness that flows from the Cross of our CHRIST...,34.02300364867436,-117.80135518724012,0
Lord Gaalan ignited his lightsaber; the clover-like growth on the meadow glowed red in its light. The other three Sith a,33.92786215231464,-117.20721990016014,0
It was a pleasure to meet you yesterday @CodySimpson ! I traveled 9 hours just to see you. You're great #paradisetour http://t.co/HY2lOh6T84,34.03158813986277,-117.94221917431506,0
"Clifftop residence, now, in #Montgomery http://t.co/lZPbA7g0Md",34.02405663813035,-117.49271070093805,0
"School Bus Drivers needed in Edmonton, AB, Great  perfect, secure, part-time job for you! #job #hiring http://t.co/G6QmzNpmYG",34.14638760596636,-117.5268349388188,0
"Its mighty darn cloudy here in Edmonton today, hope the flood victims are able to move i to their homes soon",34.160364390153696,-117.75021778830707,0
"A real man never stops trying to show a girl how much she means to him, even after he's got her.",33.725605033062294,-117.39493294907894,0
"We need someone to go to crappytire and pick up 1500 shop vacs! Extension cords, don't forget the extension cords! #ABFlood #banff",33.704296696654396,-117.60048088600814,0
"Lake McKenzie Water Rescue: At 1:57 PM today, Calgary Fire Department (CFD) water rescue crews responded to Lake... http://t.co/pomsKjq4jC",33.902329911973254,-117.68986036452252,1
Don't know if I'm more mad or hurt .. Where the drinks at .. Man fuck this.,33.87980699624107,-117.44047677180868,0
Does anyone know where to go if they get evacuated? @CityofRedDeer  #reddeer,33.98395672708152,-117.39570673943508,0
@GabeKirkley wow that is sad.,34.11724299628212,-117.51892211245548,0
"@TavernonWhyte Your draft doesn't work, you're gouging $6.25 for a bottled beer, and you don't have table service?#notclassy #seeya",33.861275652519915,-117.47558040566528,0
No painkillers will do the job. #fuckingchapped,33.962995033295456,-117.64062795798269,0
Nothing like a :16 second downpour to give us some much needed moisture. http://t.co/HHImyESBPu,33.95536503863504,-117.57041507876879,0
Been out of our house for 2 days now...sure hope the neighbors have watered my lawn since I've been gone,33.69713670262464,-117.32600077910291,0
Looks like your so Tuurnt up by yourself there.,33.91523646350845,-117.4234476331176,0
"Not sure if Chestbrah, or @__Daarian http://t.co/JJJZcZiLVG",33.922991522014115,-117.76612516757487,0
"o come. The rescue teams had been denied permission to #evacuate survivors, and medical facilities located in the seconda",34.038840038684505,-117.18434884209124,1
@Prophecy_YEC @ScientiaPercept http://t.co/n0GA32G7OV http://t.co/4HvHjRQ58A read the second link not a perfect sphere bub #fail,33.70050382112671,-117.43801233730352,0
Some High River residents head home: Some High River residents were awash with relief Friday after officials... http://t.co/x0wiIlYxgk,33.98406337093377,-117.22272895283815,1
"Looking for a Senior Auditor in Calgary, AB - excellent opportunity! #job #hiring http://t.co/NEOlYPpIXc",33.970214770696664,-117.93567942117477,0
@SophiaBush please retweet to help those losing their homes to floods in Alberta. Redcross.ca #yycflood,34.00075810489026,-117.13847724711088,0
"@Misty_Hamel it's happening on Sunday for sure, venue is still TBA. #cocktails4calgary",33.82472361203087,-117.89678998068236,1
couldn't imagine that Jira could do it  #teamfollowback without #getting caught.,33.98007457238131,-117.819906651084,0
You guys are actually so fake  whatta joke. #fuckeveryone two faced bitches these days,33.995653928698225,-118.00636325355455,0
@Sarah_Lindell36 Thanks to you I'm still obsessed with him!,33.83934111711349,-117.70428847170211,0
Looks like there's a lot of power outages. One in the inglewood area and Blackfoot.  #calgary,34.06008036619648,-117.31856507535605,0
Haven't worked out that hard in 2 months omg,33.75974103836245,-117.73661041005714,0
"Ah, sweet victory. Close enough",33.933459209773424,-117.7471385129695,0
"I always think of baby names, I ain't ever having kids!",33.91121414907203,-117.77093361310806,0
Only crummy thing about being stuck at school all day is that I become the Help Desk for everyone. Without wanting to be.,33.98361124795829,-117.70045159517008,0
Thanks @BellMobility for charging me data for nothing. #hatebell,34.11990837260898,-117.60491209788877,0
"He did it! #Somehow, Master Gnost-Dural did it!",33.88741436193303,-117.50303393814285,0
#UnderTheDome shows up at this time as Trend in Calgary http://t.co/UxpCkna1Fe,33.773024038675004,-117.26424093791368,1
I wont cry cause I know I will never be lonely,34.000885862426536,-117.96149306323616,0
@MitchLucker__: imagine waking up &amp; seeing this bad boy next to you every morning. http://t.co/2tgPuae1wk DUNT DO DIS TO ME JEFF FEELS!1!!,34.103393678155115,-117.43486794784387,0
Canada's 5th largest city? MT @robedits: Our hottest story.  Why the city is still in big trouble #Calgary #yyzflood http://t.co/5lPtqevN4I,34.04325383809025,-117.32139551986148,1
City crews fill sand bags along River Road in #medhat as water levels rise in the South Saskatchewan River #abflood http://t.co/ZMpClVChI4,33.72137537391577,-117.9057202760861,1
@tiwilli12: Cenovus Donating $1M to #abflood relief incl. $250K immediately to @redcrosscanada; will also work w/ other community partners,34.07354370413219,-117.37848013682155,0
Heart creek runs along side the highway instead of going under it now. http://t.co/r90zU6Vt3p,34.05606605768589,-117.65521914756219,1
": Drinking tea while resting my lovely feet on the table ahhhhhhhhh, mhmmm.",33.99070921595997,-117.95169920801996,0
@__rilleyGriffin thank uu! I would never of thought of that either,34.0891489383164,-117.788170691266,0
Slide show of high quality photos of the flood from June 24. #mhflood http://t.co/nVDKfNf6iw,34.071069461301214,-117.37097051225405,1
IT'S A BEAUTIFUL DAY @ The Banff Centre http://t.co/RtwYc6eSjv,33.7412284933152,-117.93637442956656,0
@northwestsports wow very cool logo!,34.07941751151943,-117.67833698005043,0
@michielinman Again. Whats the over/under on you being back?,33.72394446592336,-117.7172750109846,0
